Year	Block 	Well	Pollen source nest	Pollen source cell	Pollen source species	Pollen type	Bee source	Bee source cell	Est date laid	Mean date laid	Est DOY laid	Bee species	Bee subgenus	Origin pollen	Transfer type	Transferred as	Transfer date	Est eclosion date	Day of event yr 1	Event	Days to event	Survival
2018	8	5	KC-F7	3	Osmia coloradensis	Taraxacum	KC-E1	7	2-3 jul	2-Jul	183	Osmia montana	Cephalosmia	Asteraceae	Transfer	E	12-Jul	15-Jul	23-Jul	dead	21	1
2018	9	7	GT-C14	6	Osmia coloradensis	Taraxacum	KC-E3	4	27-Jun	27-Jun	178	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	14-Jul	7-Jul	19-Jul	dead	22	1
2018	9	3	KC-E1	3	Osmia montana	Asteraceae	KC-E3	5	28-Jun	28-Jun	179	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	14-Jul	8-Jul	23-Jul	dead	25	1
2018	8	3	VB-H2b	4	Osmia subaustralis	Asteraceae	KC-E3	6	28-29jun	28-Jun	179	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	14-Jul	8-Jul	25-Jul	dead	27	1
2018	7	5	BC-B7	2	Osmia coloradensis	Taraxacum	KC-E3	7	29-Jun	29-Jun	180	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	14-Jul	9-Jul	23-Aug	dead	55	1
2018	4	15b	KC-E3	8	Osmia montana	Asteraceae	KC-E3	8	1-Jul	1-Jul	182	Osmia montana	Cephalosmia	Asteraceae	Control	NA	21-Jul	11-Jul	23-Aug	alive	53	0
2018	2	9	FT-F2b	7	Osmia subaustralis	Asteraceae	KC-F7	2	14-Jun	14-Jun	165	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	30-Jun	24-Jun	13-Jul	dead	29	1
2018	4	15	BC-B7	3	Osmia coloradensis	Taraxacum	KC-F7	4	15-Jun	15-Jun	166	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	2-Jul	25-Jun	11-Jul	dead	26	1
2018	5	3	FT-F2b	6	Osmia subaustralis	Asteraceae	KC-F7	5	20-Jun	20-Jun	171	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	2-Jul	30-Jun	7-Jul	dead	17	1
2018	10	5	KP-A9	1	Osmia subaustralis	mix	KP-A9	1	13-14 jun	13-Jun	164	Osmia subaustralis	Cephalosmia	mix	Control	NA	12-Jul	23-Jun	29-Jul	cocoon	46	0
2018	10	7	KP-A9	2	Osmia subaustralis	mix	KP-A9	2	16-17 jun	16-Jun	167	Osmia subaustralis	Cephalosmia	mix	Control	NA	12-Jul	26-Jun	29-Jul	cocoon	43	0
2018	4	6	FT-F2b	4	Osmia subaustralis	Asteraceae	KP-B4b	1	21-Jun	21-Jun	172	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	E	30-Jun	3-Jul	23-Aug	cocoon	63	0
2018	3	9	JF-E5	3	Osmia coloradensis	Asteraceae	KP-B4b	2	22-Jun	22-Jun	173	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	5-Jul	2-Jul	17-Aug	cocoon	56	0
2018	6	5	GT-C14b	7	Osmia coloradensis	Taraxacum	KP-E1	1	24-Jun	24-Jun	175	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	11-Jul	4-Jul	13-Jul	dead	19	1
2018	3	11	GT-C14b	5	Osmia coloradensis	Taraxacum	KP-E1	3	26-Jun	26-Jun	177	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	6-Jul	6-Jul	13-Jul	dead	17	1
2018	2	4	GT-C14b	1	Osmia coloradensis	Taraxacum	KP-E1	4	27-Jun	27-Jun	178	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	E	30-Jun	5-Jul	19-Aug	dead	53	1
2018	5	1	GT-C14b	6	Osmia coloradensis	Taraxacum	KP-J9	1	22-Jun	22-Jun	173	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	5-Jul	2-Jul	17-Aug	cocoon	56	0
2018	5	6	JF-E5	2	Osmia coloradensis	Asteraceae	KP-J9	2	23-Jun	23-Jun	174	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	5-Jul	3-Jul	11-Aug	cocoon	49	0
2018	6	2	FT-F2b	1	Osmia subaustralis	Asteraceae	KP-J9	3	24-Jun	24-Jun	175	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	9-Jul	4-Jul	17-Aug	cocoon	54	0
2018	10	2	KP-J9	4	Osmia subaustralis	Asteraceae	KP-J9	4	25-Jun	25-Jun	176	Osmia subaustralis	Cephalosmia	Asteraceae	Control	NA	12-Jul	5-Jul	21-Aug	cocoon	57	0
2018	8	6	KC-E1	1	Osmia montana	Asteraceae	KP-L10	1	29-30jun	29-Jun	180	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	16-Jul	9-Jul	23-Aug	alive	55	0
2018	9	5	GT-C14	5	Osmia coloradensis	Taraxacum	KP-L10	2	1-Jul	1-Jul	182	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	16-Jul	11-Jul	23-Jul	dead	22	1
2018	9	6	VB-H2b	3	Osmia subaustralis	Asteraceae	KP-L10	3	2-Jul	2-Jul	183	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	18-Jul	12-Jul	23-Jul	dead	21	1
2018	1	12b	SG-E16	4	Osmia coloradensis	Taraxacum	KP-L10	4	3-Jul	3-Jul	184	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	18-Jul	13-Jul	23-Aug	dead	51	1
2018	4	4b	SG-E14	3	Osmia coloradensis	Taraxacum	KP-L10	6	10-11jul	10-Jul	191	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	21-Jul	20-Jul	23-Aug	alive	44	0
2018	2	8	SG-E12	2	Osmia coloradensis	Taraxacum	SG-E12	2	9-Jun	9-Jun	160	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	19-Jun	17-Aug	dead	69	1
2018	3	7	SG-E12	3	Osmia coloradensis	Taraxacum	SG-E12	3	10-Jun	10-Jun	161	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	20-Jun	7-Jul	dead	27	1
2018	1	6	SG-E13	1	Osmia coloradensis	Taraxacum	SG-E13	1	12-13 jun	12-Jun	163	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	21-Jun	23-Aug	cocoon	72	0
2018	1	8	KP-B4b	1	Osmia subaustralis	Asteraceae	SG-E13	3	14-15 jun	14-Jun	165	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	30-Jun	24-Jun	7-Jul	dead	23	1
2018	4	10	SG-E13	4	Osmia coloradensis	Taraxacum	SG-E13	4	15-16 Jun	15-Jun	166	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	25-Jun	23-Aug	alive	69	0
2018	4	2	KC-F7	2	Osmia coloradensis	Taraxacum	SG-E13	5	16-17 Jun	16-Jun	167	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	2-Jul	26-Jun	13-Jul	dead	27	1
2018	1	10	SG-E14	1	Osmia coloradensis	Taraxacum	SG-E14	1	5-6 jun	5-Jun	156	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	15-Jun	31-Jul	cocoon	56	0
2018	3	13	SG-E14	5	Osmia coloradensis	Taraxacum	SG-E14	5	9-10 Jun	9-Jun	160	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	19-Jun	9-Jul	dead	30	1
2018	1	3	SG-E16	1	Osmia coloradensis	Taraxacum	SG-E16	1	3-Jun	3-Jun	154	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	13-Jun	5-Jul	dead	32	1
2018	4	13	SG-E16	5	Osmia coloradensis	Taraxacum	SG-E16	5	7-Jun	7-Jun	158	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	17-Jun	9-Jul	dead	32	1
2018	7	3	KP-J9	3	Osmia subaustralis	Asteraceae	SG-E5b	1	3-4 jul	3-Jul	184	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	13-Jul	21-Jul	dead	18	1
2018	8	7	SG-E13	2	Osmia coloradensis	Taraxacum	SG-E5b	2	4-5jul	4-Jul	185	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	14-Jul	19-Jul	dead	15	1
2018	8	4	KC-E1	2	Osmia montana	Asteraceae	SG-E5b	3	5-6 jul	5-Jul	186	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	15-Jul	2-Aug	dead	28	1
2018	9	2	SG-E12	1	Osmia coloradensis	Taraxacum	SG-E5b	5	7-8 jul	7-Jul	188	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	18-Jul	17-Jul	4-Aug	dead	28	1
2018	9	4	GT-C14	8	Osmia coloradensis	Taraxacum	SG-E5b	6	9-Jul	9-Jul	190	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	18-Jul	19-Jul	8-Aug	dead	30	1
2018	7	4	FT-F2b	3	Osmia subaustralis	Asteraceae	SG-E9	2	2-Jul	2-Jul	183	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	16-Jul	23-Aug	23-Aug	alive	52	0
